company,device,price,year,announced,dim_length,dim_breadth,dim_thickness,weight,display_tech,display_size,px_row,px_col,aspect_row,aspect_col,camera,video,cam_px,selfie,sel_px,sim_no,os,os_type,card_slot,chipset,cpu,gpu,ram,LTE,gps,radio,nfc,wlan,audio_jack,battery_mah,bt_v
Acer,Liquid Z6 Plus,250,2016,"2016, August",153.8,75.6,8.5,169,"IPS LCD capacitive touchscreen, 16M colors",5.5,1080,1920,16,9,"13 MP, autofocus, LED flash",1080p@30fps,13,5 MP,5,2,Android 6.0 (Marshmallow),Android,microSD,Mediatek MT6753,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,3,Yes,Yes,Yes,No,Yes,Yes,4080,4
Acer,Liquid Z6,120,2016,"2016, August",NA,NA,NA,NA,"IPS LCD capacitive touchscreen, 16M colors",5,720,1280,16,9,"8 MP, autofocus, LED flash",Yes,8,2 MP,2,2,Android 6.0 (Marshmallow),Android,microSD,Mediatek MT6737,Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,1,Yes,Yes,Yes,No,Yes,Yes,2000,NA
Acer,Liquid X2,230,2015,"2015, April",153.3,78.8,8.5,166,"IPS LCD capacitive touchscreen, 16M colors",5.5,720,1280,16,9,"13 MP, f/1.8, autofocus, LED flash, check quality","1080p, check quality",13,"13 MP, f/1.8, autofocus, LED flash",13,3,Android 5.1 (Lollipop),Android,microSD,Mediatek MT6753,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP4,3,Yes,Yes,Yes,No,Yes,Yes,4020,4
Acer,Liquid Jade 2,NA,2016,"2016, February",NA,NA,NA,NA,"Super AMOLED capacitive touchscreen, 16M colors",5.5,1080,1920,16,9,"21 MP, autofocus, dual-LED flash",2160p@30fps,21,8 MP,8,2,Android 6.0 (Marshmallow),Android,microSD,Qualcomm MSM8992 Snapdragon 808,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),NA,3,Yes,Yes,Yes,No,Yes,Yes,NA,4
Acer,Liquid Zest Plus,200,2016,"2016, April",154,77,10,NA,"IPS LCD capacitive touchscreen, 16M colors",5.5,720,1280,16,9,"13 MP, phase detection/laser autofocus, LED flash",1080p@30fps,13,5 MP,5,2,Android 6.0 (Marshmallow),Android,microSD,Mediatek MT6735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,2,Yes,Yes,Yes,No,Yes,Yes,5000,NA
Acer,Liquid Zest,110,2016,"2016, February",145.7,71.2,8.4,125,"IPS LCD capacitive touchscreen, 16M colors",5,720,1280,16,9,"8 MP, f/2.0, autofocus, LED flash",1080p@30fps,8,5 MP,5,2,Android 6.0 (Marshmallow),Android,microSD,Mediatek MT6580 - Z525Mediatek MT6735 - Z525,Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,Mali-400MP2 - Z525Mali-T720MP2 - Z528,1,Yes,Yes,Yes,No,Yes,Yes,2000,4
Acer,Liquid Jade Primo,220,2015,"2015, September",156.5,75.9,8.4,150,"AMOLED capacitive touchscreen, 16M colors",5.5,1080,1920,16,9,"21 MP, f/2.2, autofocus, dual-LED flash, check quality","2160p@30fps, 1080p@30fps, check quality",21,"8 MP, f/2.2, 1080p@30fps",8,2,Microsoft Windows 10,Microsoft,microSD,Qualcomm MSM8992 Snapdragon 808,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,3,Yes,Yes,Yes,No,Yes,Yes,2870,4
Acer,Liquid Z330,110,2015,"2015, September",136,66.5,9.6,142,"IPS LCD capacitive touchscreen, 16M colors",4.5,480,854,16,9,"5 MP, autofocus, LED flash",Yes,5,5 MP,5,2,Android 5.1 (Lollipop),Android,microSD,Qualcomm MSM8909 Snapdragon 210,Quad-core 1.1 GHz Cortex-A7,Adreno 304,1,Yes,Yes,Yes,No,Yes,Yes,2000,4
Acer,Liquid Z320,90,2015,"2015, September",136,66.5,9.6,142,"IPS LCD capacitive touchscreen, 16M colors",4.5,480,854,16,9,"5 MP, autofocus, LED flash",Yes,5,2 MP,2,2,Android 5.1 (Lollipop),Android,microSD,Qualcomm MSM8909 Snapdragon 210,Quad-core 1.0 GHz Cortex-A7,Adreno 304,1,No,Yes,Yes,No,Yes,Yes,2000,4
Acer,Liquid Z630S,NA,2015,"2015, September",156.3,77.5,8.9,165,"IPS LCD capacitive touchscreen, 16M colors",5.5,720,1280,16,9,"8 MP, autofocus, LED flash",1080p@30fps,8,8 MP,8,2,Android 5.1 (Lollipop),Android,microSD,Mediatek MT6753,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,3,Yes,Yes,Yes,No,Yes,Yes,4000,4
